id,image_path,category,text,python_code
30,./images/alg_030.jpg,"Lecture & Écriture","Lire(x)\nAfficher(""x / 3 ="")\nAfficher(x / 3)","x = int(input())\nprint(""x / 3 ="")\nprint(x / 3)"
31,./images/alg_031.jpg,"Lecture & Écriture","Lire(prenom)\nLire(nom)\nAfficher(prenom)\nAfficher(nom)","prenom = input()\nnom = input()\nprint(prenom)\nprint(nom)"
32,./images/alg_032.jpg,"Lecture & Écriture","Lire(prenom)\nLire(nom)\nAfficher(""Nom complet:"")\nAfficher(prenom)\nAfficher(nom)","prenom = input()\nnom = input()\nprint(""Nom complet:"")\nprint(prenom)\nprint(nom)"
33,./images/alg_033.jpg,"Lecture & Écriture","Lire(ville)\nAfficher(""Ville:"")\nAfficher(ville)","ville = input()\nprint(""Ville:"")\nprint(ville)"
34,./images/alg_034.jpg,"Lecture & Écriture","Lire(message)\nAfficher(""Vous avez ecrit:"")\nAfficher(message)","message = input()\nprint(""Vous avez ecrit:"")\nprint(message)"
35,./images/alg_035.jpg,"Lecture & Écriture","Lire(nom)\nAfficher(""Bienvenue,"")\nAfficher(nom)\nAfficher(""!"")","nom = input()\nprint(""Bienvenue,"")\nprint(nom)\nprint(""!"")"
36,./images/alg_036.jpg,"Lecture & Écriture","Lire(a)\nLire(b)\nAfficher(""a ="")\nAfficher(a)\nAfficher(""b ="")\nAfficher(b)","a = int(input())\nb = int(input())\nprint(""a ="")\nprint(a)\nprint(""b ="")\nprint(b)"
37,./images/alg_037.png,"Lecture & Écriture","Lire(x)\nLire(y)\nAfficher(""x + y ="")\nAfficher(x + y)\nAfficher(""x - y ="")\nAfficher(x - y)","x = int(input())\ny = int(input())\nprint(""x + y ="")\nprint(x + y)\nprint(""x - y ="")\nprint(x - y)"
38,./images/alg_038.png,"Lecture & Écriture","Lire(x)\nLire(y)\nAfficher(""x * y ="")\nAfficher(x * y)\nAfficher(""x / y ="")\nAfficher(x / y)","x = int(input())\ny = int(input())\nprint(""x * y ="")\nprint(x * y)\nprint(""x / y ="")\nprint(x / y)"
39,./images/alg_039.png,"Lecture & Écriture","Lire(a)\nLire(b)\nLire(c)\nAfficher(""Produit:"")\nAfficher(a * b * c)","a = int(input())\nb = int(input())\nc = int(input())\nprint(""Produit:"")\nprint(a * b * c)"
40,./images/alg_040.png,"Lecture & Écriture","Lire(a)\nLire(b)\nLire(c)\nAfficher(""Moyenne:"")\nAfficher((a + b + c) / 3)","a = int(input())\nb = int(input())\nc = int(input())\nprint(""Moyenne:"")\nprint((a + b + c) / 3)"
41,./images/alg_041.png,"Lecture & Écriture","Lire(note)\nAfficher(""Note:"")\nAfficher(note)","note = float(input())\nprint(""Note:"")\nprint(note)"
42,./images/alg_042.png,"Lecture & Écriture","Lire(note1)\nLire(note2)\nAfficher(""Total:"")\nAfficher(note1 + note2)","note1 = float(input())\nnote2 = float(input())\nprint(""Total:"")\nprint(note1 + note2)"
43,./images/alg_043.png,"Lecture & Écriture","Lire(note1)\nLire(note2)\nAfficher(""Moyenne:"")\nAfficher((note1 + note2) / 2)","note1 = float(input())\nnote2 = float(input())\nprint(""Moyenne:"")\nprint((note1 + note2) / 2)"
44,./images/alg_044.png,"Lecture & Écriture","Lire(prix)\nAfficher(""Prix TTC (20%):"")\nAfficher(prix * 1.2)","prix = float(input())\nprint(""Prix TTC (20%):"")\nprint(prix * 1.2)"
45,./images/alg_045.png,"Lecture & Écriture","Lire(prix)\nAfficher(""Remise 10%:"")\nAfficher(prix * 0.9)","prix = float(input())\nprint(""Remise 10%:"")\nprint(prix * 0.9)"
46,./images/alg_046.png,"Lecture & Écriture","Lire(salaire)\nAfficher(""Salaire annuel:"")\nAfficher(salaire * 12)","salaire = float(input())\nprint(""Salaire annuel:"")\nprint(salaire * 12)"
47,./images/alg_047.png,"Lecture & Écriture","Lire(h)\nLire(m)\nAfficher(""Heure:"")\nAfficher(h)\nAfficher(""Minute:"")\nAfficher(m)","h = int(input())\nm = int(input())\nprint(""Heure:"")\nprint(h)\nprint(""Minute:"")\nprint(m)"
48,./images/alg_048.png,"Lecture & Écriture","Lire(distance)\nLire(temps)\nAfficher(""Vitesse:"")\nAfficher(distance / temps)","distance = float(input())\ntemps = float(input())\nprint(""Vitesse:"")\nprint(distance / temps)"
49,./images/alg_049.png,"Lecture & Écriture","Lire(celsius)\nAfficher(""Fahrenheit:"")\nAfficher((celsius * 9 / 5) + 32)","celsius = float(input())\nprint(""Fahrenheit:"")\nprint((celsius * 9 / 5) + 32)"
50,./images/alg_050.png,"Lecture & Écriture","Lire(rayon)\nAfficher(""Perimetre:"")\nAfficher(2 * 3.14 * rayon)\nAfficher(""Aire:"")\nAfficher(3.14 * rayon * rayon)","rayon = float(input())\nprint(""Perimetre:"")\nprint(2 * 3.14 * rayon)\nprint(""Aire:"")\nprint(3.14 * rayon * rayon)"
